pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
HarrKe01,kevin-harris-5,00-0037286,Kevin Harris,RB,2022,6,183,NWE,south carolina,70.0,221.0,,38.5,126.0,21.0,,,,,,,,354.0,1893.0,22.0,35.0,274.0,1.0,1.0,1.0,9.0,0,0,0,False,skill_run,False,True,False,False,9.32,0,1,True,,82.25,,31.70673469387755,-0.4967507801897647,0.061279292225592,,1.2373995245305274,1.2349264328630487,0.1123626700828779,,,,1.366150483157408,,0.5180230616973436,5.3474576271186445,0.0621468926553672,0.0988700564971751,2167.0,False,False,holdout,10.585403,4.1155663,0.7882562277580071,0.18683171,0.49110320284697506,0.16539693,48.396885922954176
RobiBi01,bijan-robinson-1,00-0038542,Bijan Robinson,RB,2023,1,8,ATL,texas,71.0,215.0,4.46,37.0,124.0,,,,,,,,,539.0,3408.0,33.0,60.0,805.0,8.0,36.0,36.0,51.0,2,1,2,False,skill_run,False,True,False,False,94.73,1,0,True,108.67484282052185,80.5,,29.983138266217026,0.0522152808722206,-0.2784496105167604,-0.7121967840475774,0.7739178454242825,0.9061029760479624,,,,0.6465659916692975,0.95255571531491,,-0.3981264562791543,6.322820037105752,0.0612244897959183,0.111317254174397,4213.0,False,False,holdout,46.94796,2.2814255,0.7099644128113879,0.58598644,0.9519572953736655,0.7335619,73.82868919296197
RobiBr01,brian-robinson-jr-1,00-0037746,Brian Robinson Jr.,RB,2022,3,98,WAS,alabama,74.0,225.0,4.53,30.0,119.0,,,,,,,,,545.0,2704.0,29.0,52.0,446.0,2.0,19.0,16.0,58.0,0,0,3,False,skill_run,False,True,False,False,39.66,0,0,True,106.86111607764174,74.5,,28.885135135135137,1.6991134640581766,0.2877652273871604,-0.1948719764106098,-1.3889966570715264,0.0840443340102462,,,,0.4611927115191736,-0.4654834887165116,,-0.9817520795015988,4.961467889908257,0.0532110091743119,0.0954128440366972,3150.0,False,False,holdout,15.255567,-3.9311304,0.18683274021352314,0.22491997,0.6476868327402135,0.23836823,29.692810320981454
VaugKe00,keshawn-vaughn-1,00-0036450,Ke'Shawn Vaughn,RB,2020,3,76,TAM,illinois,70.0,214.0,4.51,32.0,117.0,,,,,,,,,572.0,3296.0,30.0,66.0,648.0,3.0,2.0,2.0,46.0,0,0,0,False,skill_run,False,True,False,False,50.94,0,0,True,103.45169279930268,74.5,,30.70244897959184,-0.4967507801897647,-0.3350710943071525,-0.3426790643068891,-0.7710210849298668,-0.2447791228048401,,,,0.1127300894583132,-0.4654834887165116,,-0.015788599946895,5.7622377622377625,0.0524475524475524,0.1153846153846153,3944.0,False,False,holdout,17.492168,-1.6945286,0.3202846975088968,0.2450126,0.697508896797153,0.27331513,37.128120767105095
WhitRa01,rachaad-white-1,00-0037256,Rachaad White,RB,2022,3,91,TAM,arizona st.,72.0,214.0,4.48,38.0,125.0,,,,,,,,,224.0,1426.0,20.0,51.0,607.0,2.0,26.0,26.0,67.0,0,0,2,False,skill_run,False,True,False,False,43.1,0,0,True,106.2506787333077,81.5,,29.0204475308642,0.601181341934206,-0.3350710943071525,-0.5643896961512981,1.0829056314951124,1.0705147044555057,,,,0.3988025122846169,1.1888955826534802,,-0.909828986523456,6.366071428571429,0.0892857142857142,0.2276785714285714,2033.0,False,False,holdout,13.494146,-5.6925507,0.10498220640569395,0.20993908,0.5960854092526691,0.21084604,24.53669917169839
WrigJa04,jaylen-wright-1,00-0039874,Jaylen Wright,RB,2024,4,120,MIA,tennessee,71.0,210.0,4.38,38.0,134.0,,,,,,,,,368.0,2297.0,18.0,30.0,171.0,0.0,4.0,4.0,25.0,0,0,0,False,skill_run,False,True,False,False,29.79,0,0,True,114.1176575246594,86.0,,29.28585598095616,0.0522152808722206,-0.5615570294687209,-1.3034251356326811,1.0829056314951124,2.5502202601233943,,,,1.2028528848939908,2.252424985677046,,-0.7687554615866006,6.241847826086956,0.0489130434782608,0.0815217391304347,2468.0,False,False,holdout,15.453399,3.7214537,0.7704626334519573,0.22664906,0.6565836298932385,0.24145934,53.312346173510015
WalkKe00,kenneth-walker-iii-1,00-0038134,Kenneth Walker III,RB,2022,2,41,SEA,michigan st.,69.0,211.0,4.38,34.0,122.0,,,,,,,,,480.0,2794.0,35.0,19.0,136.0,1.0,28.0,28.0,58.0,0,0,3,False,skill_run,False,True,False,False,71.8,0,0,True,114.6610749414435,78.0,,31.15584961142617,-1.04571684125175,-0.5049355456783288,-1.3034251356326811,-0.153045512788207,0.5772795192328759,,,,1.2583932629776338,0.3617060469684843,,0.2252090974485865,5.820833333333334,0.0729166666666666,0.0395833333333333,2930.0,False,False,holdout,26.055695,-1.8531666,0.30782918149466193,0.33242992,0.8185053380782918,0.40712023,43.474277636016396
DaviTy03,tyrion-davis-price-1,00-0037827,Tyrion Davis-Price,RB,2022,3,93,SFO,louisiana state,72.0,211.0,4.48,30.0,117.0,,,,,,,,,379.0,1744.0,15.0,28.0,185.0,0.0,1.0,1.0,8.0,0,0,0,False,skill_run,False,True,False,False,42.1,0,0,True,104.76118323704635,73.5,,28.613618827160494,0.601181341934206,-0.5049355456783288,-0.5643896961512981,-1.3889966570715264,-0.2447791228048401,,,,0.2465675259534632,-0.7018233560550818,,-1.12607213649508,4.601583113456464,0.0395778364116095,0.0738786279683377,1929.0,False,False,holdout,18.047575,-1.139122,0.37722419928825623,0.25018585,0.7099644128113879,0.28199336,39.931840508964136
AllgTy00,tyler-allgeier-1,00-0037263,Tyler Allgeier,RB,2022,5,151,ATL,byu,71.0,224.0,4.6,33.0,120.0,,,,,,,,,452.0,2905.0,36.0,46.0,437.0,1.0,20.0,20.0,67.0,0,0,0,False,skill_run,False,True,False,False,18.27,0,1,True,100.05681797878084,76.5,,31.23824637968657,0.0522152808722206,0.2311437435967683,0.322452831226351,-0.4620332988590369,0.2484560624177894,,,,-0.2342455967356686,0.0071962459606289,,0.2690057532742466,6.426991150442478,0.079646017699115,0.1017699115044247,3342.0,False,False,holdout,9.68143,2.20051,0.7046263345195729,0.18006186,0.46619217081850534,0.15127234,44.13558101579812
CookJa01,james-cook-2,00-0037248,James Cook,RB,2022,2,63,BUF,georgia,71.0,199.0,4.42,33.0,124.0,,,,,,,,,230.0,1503.0,14.0,67.0,730.0,6.0,43.0,43.0,66.0,3,0,2,False,skill_run,False,True,False,False,58.27,0,0,True,104.2783125389264,78.5,,27.751834953382264,0.0522152808722206,-1.1843933511630338,-1.0078109598401293,-0.4620332988590369,0.9061029760479624,,,,0.1972153699298152,0.4798759806377695,,-1.5841392732629829,6.534782608695652,0.0608695652173913,0.2913043478260869,2233.0,False,False,holdout,29.766167,1.8573055,0.6832740213523132,0.37479705,0.8540925266903915,0.46509638,61.21068029535199
