pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,normalized_projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split.1,_raw_broad,10 Yard Split.2,10 Yard Split.3,position_group,missing_outcome,missing_combine,low_confidence_mock,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag,weighted_av_pred,av_tier,performance_value_usd,contract_cost_usd,contract_surplus_usd,contract_surplus_percentile,upside_percentile,round_value_percentile,sleeper_score,draft_window_label
,,,Elijah Sarratt,WR,2026,86.3,79,6651000.0,3,86,,indiana,74.5,210,,,,,,,,,,,,8.0,48.0,1.0,240.0,3649.0,44.0,,,,,,,,,,,,,,,,,,,,,6024,1000,3128,7568.0,,,,,,skill_pass,True,True,False,45.64,0,0,True,,,,26.598801855772262,0.1708875775293752,-0.3876381976400633,,,,,,,,,,-0.7240681304954726,0,1,0,0.9870164998647553,15.204166666666667,0.18333333333333332,False,,,,True,7.1218987,below,3012000.0,1662750.0,1349250.0,0.02631578947368421,0.07894736842105263,0.057971014492753624,4.843630816170862,No strong signal at current ADP
,,,Deion Burks,WR,2026,91.3,86,6488000.0,3,91,,oklahoma,69.75,180,4.3,42.5,131.0,26.0,,,,,,,,18.0,48.0,0.0,151.0,1669.0,14.0,,,,,,,,,,,,,,,,,,,,,5096,948,2938,7268.0,1.49,,1011,1.49,,skill_pass,True,False,False,43.1,0,0,True,105.30007449980272,86.75,,26.009943346051568,-1.7192510925009152,-1.5732219273137258,-1.6088723300947598,2.2652749959466907,1.8056165684969834,1.5920957606539063,,,0.6277462378877784,2.0863734775452056,,-1.0107385158245359,0,1,0,0.9720442632498544,11.052980132450331,0.09271523178807947,False,,,,True,6.257898,below,3012000.0,1622000.0,1390000.0,0.05263157894736842,0.05263157894736842,0.028985507246376812,4.79023646071701,No strong signal at current ADP
,,,Sam Roush,TE,2026,92.3,87,6451000.0,3,92,,stanford,78.0,267,4.7,38.5,126.0,,7.08,4.37,,,,,,1.0,1.0,0.0,119.0,1201.0,4.0,,,,,,,,,,,,,,,,,,,,,6060,1000,3058,7638.0,1.61,,1006,1.61,,skill_pass,True,False,False,42.6,0,0,True,109.43338304286694,82.25,5.725,30.851577909270215,1.5636213343937997,1.8649708887398952,0.44553804792612495,1.1535189267344557,1.1168255069450008,,0.22847717917333651,0.6996807004196728,0.96191141045568,1.199639852530289,0.47462465015967414,1.3462848148202595,0,0,1,0.9991680532445923,10.092436974789916,0.03361344537815126,False,,,,True,11.248965,good,15060000.0,1612750.0,13447250.0,0.55,0.45,0.2463768115942029,45.92753623188406,No strong signal at current ADP
,,,Ted Hurst,WR,2026,94.7,90,6372000.0,3,95,,georgia state,76.0,206,4.42,36.5,135.0,,,,,,,,,,,,127.0,1965.0,15.0,,,,,,,,,,,,,,,,,,,,,6040,968,3258,,1.55,,1103,1.55,,skill_pass,True,False,False,41.12,0,0,True,107.94639388451677,85.75,,25.07236842105263,0.7677734733284143,-0.5457160282632183,-0.9925492166884944,0.597640892128338,2.3566494177385695,,,,0.8416929502247126,1.8893215608752243,,-1.467172379965852,0,1,0,1.0,15.472440944881889,0.11811023622047244,False,,,,True,10.281845,average,9036000.0,1593000.0,7443000.0,0.2894736842105263,0.2894736842105263,0.2028985507246377,27.21586575133486,No strong signal at current ADP
,,,Cole Payton,QB,2026,108.5,103,6030000.0,4,108,,north dakota state,74.625,232,4.56,,,,7.12,4.36,198.0,280.0,3184.0,21.0,6.0,279.0,1841.0,29.0,3.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,6025,1028,3158,7868.0,,,,,,skill_pass,True,False,False,35.0,0,0,True,107.31455027334692,,5.74,29.286982090800176,0.22062806884596178,0.4817898707872892,-0.273505584381187,,,,0.40164730909907015,0.6381754528714098,0.7906103544875049,,0.5598356196923282,0.5846022055669946,1,0,0,,,,False,0.7071428571428572,11.371428571428572,3.5,False,7.2946157,below,6024000.0,1507500.0,4516500.0,0.09090909090909091,0.09090909090909091,0.3188405797101449,13.649538866930172,No strong signal at current ADP
,,,Bryce Lance,WR,2026,108.7,104,6026000.0,4,109,,north dakota state,75.0,204,4.34,41.5,133.0,,7.0,4.15,,,,,,9.0,121.0,2.0,127.0,2140.0,25.0,,,,,,,,,,,,,,,,,,,,,6030,928,3218,,1.49,,1101,1.49,,skill_pass,True,False,False,34.55,0,0,True,115.00090155520506,87.25,5.575,25.495466666666665,0.3698495427957216,-0.6247549435747958,-1.4034312922926713,1.987335978643632,2.081132993117776,,-0.11786308067813075,-0.65343474564214,1.4120280095594095,2.1848994358801965,-0.3774850451668308,-1.2611980497999247,0,1,0,0.946483856700575,16.8503937007874,0.1968503937007874,False,,,,True,17.52897,good,18072000.0,1506500.0,16565500.0,0.6052631578947368,1.0,0.927536231884058,78.813882532418,High-value sleeper — target in round 4
,,,Justin Joly,TE,2026,112.7,114,5946000.0,4,113,,nc state,75.625,241,,,,,,,,,,,,1.0,12.0,0.0,166.0,1962.0,15.0,,,,,,,,,,,,,,,,,,,,,6035,1048,3228,,,,,,,skill_pass,True,True,False,32.78,0,0,True,,,,29.62385629396899,0.6185519993786545,0.8374649896893879,,,,,,,,,,0.7486006127151414,0,0,1,0.993920972644377,11.819277108433734,0.09036144578313253,False,,,,True,6.587133,average,7530000.0,1486500.0,6043500.0,0.3,0.2,0.2318840579710145,25.63768115942029,No strong signal at current ADP
,,,Drew Allar,QB,2026,113.0,115,5940000.0,4,113,,penn state,77.25,228,,,,,,,633.0,1001.0,7402.0,61.0,13.0,224.0,736.0,12.0,3.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,6052,978,3268,7948.0,,,,,,skill_pass,True,True,False,32.78,0,0,True,,,,26.859207591039056,1.2651783864942803,0.3237120401641342,,,,,,,,,,-0.5972963997001787,1,0,0,,,,False,0.6323676323676324,7.394605394605395,4.6923076923076925,False,13.397117,average,15060000.0,1485000.0,13575000.0,0.45454545454545453,0.7272727272727273,0.782608695652174,60.19762845849802,Round 4 value — monitor board
,,,Josh Cameron,WR,2026,113.0,116,5940000.0,4,113,,baylor,73.5,220,,,,,,,,,,,,3.0,2.0,0.0,170.0,2236.0,19.0,,,,,,,,,,,,,,,,,,,,,6014,1028,3318,,,,,,,skill_pass,True,True,False,32.78,0,0,True,,,,28.628812069045306,-0.22703635300331754,0.007556378917824188,,,,,,,,,,0.26418932092005315,0,1,0,0.9991063449508489,13.152941176470588,0.11176470588235295,False,,,,True,8.034007,average,9036000.0,1485000.0,7551000.0,0.3157894736842105,0.3157894736842105,0.42028985507246375,33.668954996186116,No strong signal at current ADP
,,,Ja'kobi Lane,WR,2026,113.0,117,5940000.0,4,113,,southern california,76.0,200,4.47,40.0,,,,,,,,,,,,,99.0,1363.0,18.0,,,,,,,,,,,,,,,,,,,,,6040,1048,3258,,1.58,,,1.58,,skill_pass,True,False,False,32.78,0,0,True,100.19127395630996,,,24.342105263157894,0.7677734733284143,-0.7828327741979507,-0.7357479194358849,1.5704274526890438,,,,,0.21471556344274093,,,-1.8226819249745478,0,1,0,1.0,13.767676767676768,0.18181818181818182,False,,,,True,6.714128,below,3012000.0,1485000.0,1527000.0,0.07894736842105263,0.15789473684210525,0.2608695652173913,13.901601830663616,No strong signal at current ADP
